0.05, 4, 4, 4, 4, 4, 1, 49, 3000, 110, 2, 39, 8000, 178, 4, 64, 7000, 178, 1, 18, 1000, 60, 0, 171, 8000, 269, 3, 61, 9000, 341, 0, 26, 2000, 98, 3, 69, 8000, 341, 5, 237, 9000, 393, 3, 50, 5000, 102, 2, 47, 7000, 393, 1, 34, 6000, 151, 2, 27, 6000, 144, 2, 46, 2000, 115, 2, 27, 3000, 144, 1, 12, 1000, 67
0.05, 4, 4, 4, 4, 4, 2, 41, 7000, 240, 1, 46, 7000, 240, 1, 23, 4000, 67, 6, 120, 4000, 193, 1, 13, 1000, 54, 3, 53, 10000, 186, 3, 73, 3000, 130, 0, 30, 5000, 186, 1, 24, 9000, 211, 1, 21, 1000, 51, 7, 128, 6000, 211, 1, 11, 4000, 76, 1, 27, 4000, 156, 1, 15, 4000, 156, 4, 62, 2000, 109, 1, 18, 3000, 128
0.05, 4, 4, 4, 4, 4, 1, 18, 2000, 58, 1, 14, 2000, 88, 2, 28, 3000, 88, 2, 22, 1000, 39, 1, 46, 3000, 136, 1, 13, 1000, 50, 2, 37, 6000, 136, 2, 28, 2000, 89, 0, 42, 3000, 105, 2, 30, 3000, 151, 0, 19, 1000, 63, 3, 43, 6000, 151, 1, 18, 1000, 46, 1, 9, 1000, 68, 1, 21, 3000, 160, 0, 92, 6000, 160
0.05, 4, 4, 4, 4, 4, 1, 9, 2000, 57, 1, 11, 3000, 97, 1, 39, 6000, 97, 0, 35, 1000, 45, 0, 11, 2000, 66, 1, 28, 1000, 43, 1, 22, 2000, 97, 1, 30, 7000, 97, 1, 37, 3000, 88, 5, 134, 10000, 273, 2, 44, 5000, 273, 0, 44, 3000, 134, 1, 80, 4000, 139, 2, 30, 2000, 58, 2, 88, 7000, 229, 0, 12, 8000, 229
0.1, 4, 4, 4, 4, 4, 1, 16, 1000, 35, 10, 177, 3000, 242, 1, 17, 1000, 55, 1, 19, 5000, 242, 0, 10, 3000, 63, 13, 392, 5000, 468, 1, 19, 2000, 43, 1, 19, 3000, 468, 1, 34, 2000, 125, 1, 35, 6000, 330, 2, 24, 1000, 89, 11, 194, 4000, 330, 1, 18, 1000, 118, 3, 53, 4000, 183, 0, 570, 10000, 753, 3, 62, 6000, 753
0.1, 4, 4, 4, 4, 4, 1, 32, 5000, 190, 2, 126, 7000, 614, 1, 28, 1000, 62, 5, 419, 9000, 614, 5, 98, 2000, 134, 3, 67, 2000, 204, 2, 28, 9000, 234, 1, 21, 2000, 234, 9, 407, 9000, 732, 0, 17, 4000, 316, 5, 218, 10000, 732, 0, 56, 2000, 93, 2, 22, 2000, 157, 2, 97, 6000, 304, 4, 330, 6000, 638, 0, 147, 9000, 638
0.1, 4, 4, 4, 4, 4, 1, 73, 9000, 262, 2, 64, 1000, 103, 5, 80, 6000, 262, 2, 35, 3000, 177, 6, 130, 4000, 160, 3, 248, 10000, 679, 0, 268, 7000, 679, 1, 13, 5000, 411, 2, 160, 4000, 250, 0, 54, 2000, 88, 4, 150, 5000, 404, 0, 14, 6000, 404, 2, 26, 1000, 102, 3, 120, 5000, 396, 2, 46, 8000, 396, 9, 162, 4000, 273
0.1, 4, 4, 4, 4, 4, 5, 150, 3000, 237, 1, 12, 7000, 274, 2, 35, 3000, 274, 4, 65, 2000, 82, 1, 17, 1000, 45, 0, 518, 8000, 638, 0, 75, 5000, 120, 1, 14, 5000, 638, 2, 73, 6000, 390, 1, 49, 3000, 166, 7, 217, 5000, 390, 1, 26, 1000, 91, 0, 27, 3000, 106, 0, 11, 1000, 63, 0, 200, 3000, 306, 0, 43, 3000, 306
0.1, 4, 4, 4, 4, 4, 0, 46, 1000, 76, 1, 29, 2000, 140, 2, 62, 6000, 347, 7, 200, 7000, 347, 1, 18, 9000, 341, 6, 187, 4000, 341, 1, 15, 1000, 45, 3, 100, 3000, 148, 3, 41, 1000, 75, 1, 54, 4000, 320, 6, 184, 5000, 320, 1, 9, 2000, 130, 0, 91, 5000, 463, 1, 37, 2000, 195, 9, 259, 9000, 463, 2, 32, 1000, 104
0.1, 4, 4, 4, 4, 4, 2, 45, 5000, 208, 0, 272, 5000, 480, 2, 144, 5000, 480, 1, 14, 2000, 62, 1, 29, 7000, 460, 11, 341, 9000, 460, 3, 39, 1000, 77, 1, 30, 2000, 108, 5, 113, 3000, 201, 1, 12, 1000, 56, 0, 27, 1000, 83, 1, 21, 1000, 201, 4, 150, 4000, 307, 2, 25, 2000, 91, 2, 34, 2000, 153, 2, 60, 2000, 307
